,A,B,"dict(A,B)",#(A)+#(B)
353,3872,3916,0.0,2
354,3952,4545,0.0,3
355,3809,3857,0.0,2
356,3986,3993,0.0,2
357,4040,4548,0.0,3
358,4065,4071,0.0,2
359,3877,3918,0.0,2
360,3964,3971,0.0,2
361,4051,4552,0.0,3
362,2294,2295,0.0,2
363,2932,3156,0.0,2
364,3605,3866,0.0,2
365,2449,2452,0.0,2
366,3344,3796,0.0,2
367,3588,3719,0.0,2
368,3087,3307,0.0,2
369,3285,3525,0.0,2
370,3792,4561,0.0,3
371,3197,3581,0.0,2
372,1722,1730,0.0,2
373,1658,2114,0.0,2
374,2116,4565,0.0,3
375,2003,2133,0.0,2
376,2533,2537,0.0,2
377,2539,4568,0.0,3
378,3404,3412,0.0,2
379,3249,3679,0.0,2
380,3536,3810,0.0,2
381,3133,3419,0.0,2
382,3838,4573,0.0,3
383,3669,3882,0.0,2
384,3682,3815,0.0,2
385,3336,3501,0.0,2
386,3447,3604,0.0,2
387,3750,4578,0.0,3
388,3049,3161,0.0,2
389,2867,3182,0.0,2
390,3317,4581,0.0,3
391,3054,3379,0.0,2
392,3190,3945,0.0,2
393,4007,4584,0.0,3
394,2970,3081,0.0,2
395,3371,4586,0.0,3
396,3331,3433,0.0,2
397,3246,3929,0.0,2
398,3790,3985,0.0,2
399,3032,3368,0.0,2
400,3463,3677,0.0,2
401,3979,4592,0.0,3
402,3113,3273,0.0,2
403,3446,4594,0.0,3
404,3794,4595,0.0,4
405,2834,3587,0.0,2
406,2840,3018,0.0,2
407,3088,4598,0.0,3
408,2935,2990,0.0,2
409,3225,4600,0.0,3
410,3841,4601,0.0,4
411,3922,4602,0.0,5
412,3925,4603,0.0,6
413,3131,3954,0.0,2
414,3623,3992,0.0,2
415,2859,3175,0.0,2
416,2892,3570,0.0,2
417,2899,3342,0.0,2
418,3695,4609,0.0,3
419,3984,4610,0.0,4
420,1655,1751,0.0,2
421,2583,2589,0.0,2
422,2302,2308,0.0,2
423,3262,3516,0.0,2
424,3101,3364,0.0,2
425,1201,1604,0.0,2
426,1688,1743,0.0,2
427,1746,4618,0.0,3
428,1850,4619,0.0,4
429,1879,4620,0.0,5
430,2115,4621,0.0,6
431,1804,1806,0.0,2
432,2011,4623,0.0,3
433,2097,4624,0.0,4
434,2234,4625,0.0,5
435,2002,2092,0.0,2
436,2159,4627,0.0,3
437,2512,4628,0.0,4
438,2215,2232,0.0,2
439,2337,4630,0.0,3
440,2341,4631,0.0,4
441,2360,4632,0.0,5
442,2471,2495,0.0,2
443,1656,1657,0.0,2
444,1664,4635,0.0,3
445,1697,4636,0.0,4
446,1883,4637,0.0,5
447,2134,2136,0.0,2
448,2090,2275,0.0,2
449,1839,2152,0.0,2
450,2124,2125,0.0,2
451,2091,2095,0.0,2
452,3053,3306,0.0,2
453,1860,1886,0.0,2
454,2651,2705,0.0,2
455,2809,4646,0.0,3
456,1704,1726,0.0,2
457,1737,4648,0.0,3
458,1662,1665,0.0,2
459,1926,1972,0.0,2
460,2086,2240,0.0,2
461,2362,2363,0.0,2
462,2415,4653,0.0,3
463,2385,2391,0.0,2
464,1167,1168,0.0,2
465,1552,1590,0.0,2
466,1660,4657,0.0,3
467,1750,4658,0.0,4
468,1654,1666,0.0,2
469,1667,4660,0.0,3
470,1668,4661,0.0,4
471,1672,4662,0.0,5
472,1673,4663,0.0,6
473,1694,4664,0.0,7
474,1696,4665,0.0,8
475,1712,1714,0.0,2
476,1715,4667,0.0,3
477,1721,4668,0.0,4
478,1725,4669,0.0,5
479,1802,4670,0.0,6
480,1828,1863,0.0,2
481,1865,4672,0.0,3
482,1911,1912,0.0,2
483,1917,4674,0.0,3
484,1919,4675,0.0,4
485,1920,4676,0.0,5
486,2074,2201,0.0,2
487,2209,2211,0.0,2
488,2212,4679,0.0,3
489,2213,4680,0.0,4
490,2214,4681,0.0,5
491,2306,4682,0.0,6
492,2320,2321,0.0,2
493,2326,4684,0.0,3
494,2392,4685,0.0,4
495,2359,2397,0.0,2
496,2399,4687,0.0,3
497,2644,2647,0.0,2
498,2204,2390,0.0,2
499,2505,2787,0.0,2
500,2801,2802,0.0,2
501,2085,2100,0.0,2
502,2246,4693,0.0,3
503,2001,2005,0.0,2
504,1718,1719,0.0,2
505,1833,4696,0.0,3
506,1840,4697,0.0,4
507,1965,4698,0.0,5
508,2122,4699,0.0,6
509,2301,2368,0.0,2
510,2410,4701,0.0,3
511,2352,2379,0.0,2
512,2405,4703,0.0,3
513,2419,4704,0.0,4
514,2529,2691,0.0,2
515,1159,1206,0.0,2
516,1547,1554,0.0,2
517,1686,4708,0.0,3
518,1669,1679,0.0,2
519,1680,4710,0.0,3
520,1731,4711,0.0,4
521,1698,1728,0.0,2
522,1729,4713,0.0,3
523,1748,4714,0.0,4
524,1831,1864,0.0,2
525,1888,4716,0.0,3
526,2075,2079,0.0,2
527,2101,2102,0.0,2
528,3457,4027,0.0,2
529,2394,2404,0.0,2
530,2406,4721,0.0,3
531,1548,1550,0.0,2
532,1555,4723,0.0,3
533,1675,1676,0.0,2
534,1826,1827,0.0,2
535,1889,4726,0.0,3
536,1913,2192,0.0,2
537,2077,2078,0.0,2
538,2396,2497,0.0,2
539,3448,3468,0.0,2
540,3839,4731,0.0,3
541,4153,4180,0.0,2
542,3991,4045,0.0,2
543,3127,3507,0.0,2
544,3763,4735,0.0,3
545,3402,3474,0.0,2
546,3696,3712,0.0,2
547,3831,3904,0.0,2
548,3913,4739,0.0,3
549,3926,4740,0.0,4
550,3387,3432,0.0,2
551,3454,4742,0.0,3
552,3781,3801,0.0,2
553,3856,3870,0.0,2
554,3919,4745,0.0,3
555,3942,4746,0.0,4
556,3598,3621,0.0,2
557,3840,3885,0.0,2
558,3887,4749,0.0,3
559,3912,4750,0.0,4
560,3741,3802,0.0,2
561,3879,3895,0.0,2
562,3961,4753,0.0,3
563,3963,3977,0.0,2
564,4047,4755,0.0,3
565,4069,4080,0.0,2
566,4105,4757,0.0,3
567,4108,4758,0.0,4
568,4109,4759,0.0,5
569,4110,4760,0.0,6
570,3610,3616,0.0,2
571,3673,4762,0.0,3
572,2974,3269,0.0,2
573,2210,2305,0.0,2
574,2389,4765,0.0,3
575,2335,2348,0.0,2
576,2417,4767,0.0,3
577,2395,2402,0.0,2
578,2403,4769,0.0,3
579,2407,4770,0.0,4
580,2409,4771,0.0,5
581,2517,4772,0.0,6
582,2599,2615,0.0,2
583,2616,4774,0.0,3
584,2792,2794,0.0,2
585,3822,3844,0.0,2
586,3914,4777,0.0,3
587,3969,4013,0.0,2
588,4019,4779,0.0,3
589,4005,4026,0.0,2
590,4046,4781,0.0,3
591,4052,4782,0.0,4
592,4056,4063,0.0,2
593,4113,4784,0.0,3
594,3825,3859,0.0,2
595,3930,4786,0.0,3
596,4053,4054,0.0,2
597,4057,4788,0.0,3
598,4066,4789,0.0,4
599,4084,4790,0.0,5
600,4103,4791,0.0,6
601,4124,4792,0.0,7
602,3832,3858,0.0,2
603,3875,4794,0.0,3
604,3903,4795,0.0,4
605,3911,4796,0.0,5
606,3968,3999,0.0,2
607,4003,4798,0.0,3
608,4028,4799,0.0,4
609,4039,4800,0.0,5
610,4010,4043,0.0,2
611,3812,3824,0.0,2
612,3881,4803,0.0,3
613,3921,4804,0.0,4
614,4012,4041,0.0,2
615,3967,4036,0.0,2
616,3989,4042,0.0,2
617,4078,4098,0.0,2
618,4119,4809,0.0,3
619,4122,4810,0.0,4
620,3982,4000,0.0,2
621,4014,4812,0.0,3
622,4033,4813,0.0,4
623,4035,4814,0.0,5
624,3799,3803,0.0,2
625,4004,4025,0.0,2
626,4061,4079,0.0,2
627,4083,4818,0.0,3
628,3931,3933,0.0,2
629,3970,3987,0.0,2
630,4001,4821,0.0,3
631,4058,4059,0.0,2
632,4060,4823,0.0,3
633,4067,4824,0.0,4
634,4075,4825,0.0,5
635,4081,4826,0.0,6
636,4100,4827,0.0,7
637,4102,4828,0.0,8
638,4116,4829,0.0,9
639,4117,4830,0.0,10
640,4118,4831,0.0,11
641,4123,4832,0.0,12
642,3836,3899,0.0,2
643,3915,4834,0.0,3
644,3958,4835,0.0,4
645,4064,4088,0.0,2
646,4092,4837,0.0,3
647,4101,4838,0.0,4
648,4106,4839,0.0,5
649,4107,4840,0.0,6
650,4125,4841,0.0,7
651,3908,3955,0.0,2
652,4072,4085,0.0,2
653,4008,4029,0.0,2
654,2900,3183,0.0,2
655,3205,4846,0.0,3
656,3258,4847,0.0,4
657,3755,4848,0.0,5
658,3222,3401,0.0,2
659,3515,3585,0.0,2
660,4062,4096,0.0,2
661,4115,4852,0.0,3
662,4131,4159,0.0,2
663,4164,4854,0.0,3
664,4175,4855,0.0,4
665,4177,4856,0.0,5
666,4185,4857,0.0,6
667,3997,4034,0.0,2
668,3884,3937,0.0,2
669,4120,4126,0.0,2
670,4129,4157,0.0,2
671,4170,4862,0.0,3
672,4183,4863,0.0,4
673,4188,4864,0.0,5
674,4191,4865,0.0,6
675,2643,4073,0.0,2
676,4128,4133,0.0,2
677,4135,4868,0.0,3
678,4136,4869,0.0,4
679,4137,4870,0.0,5
680,4140,4871,0.0,6
681,4154,4872,0.0,7
682,4163,4873,0.0,8
683,4166,4874,0.0,9
684,4173,4875,0.0,10
685,4181,4876,0.0,11
686,4184,4877,0.0,12
687,4187,4878,0.0,13
688,4189,4879,0.0,14
689,3547,3943,0.0,2
690,3683,3776,0.0,2
691,4134,4146,0.0,2
692,4155,4883,0.0,3
693,4167,4884,0.0,4
694,4174,4885,0.0,5
695,4076,4091,0.0,2
696,4130,4132,0.0,2
697,4139,4888,0.0,3
698,4142,4889,0.0,4
699,4143,4890,0.0,5
700,4145,4891,0.0,6
701,4147,4892,0.0,7
702,4149,4893,0.0,8
703,4150,4894,0.0,9
704,4151,4895,0.0,10
705,4156,4896,0.0,11
706,4158,4897,0.0,12
707,4162,4898,0.0,13
708,4168,4899,0.0,14
709,4172,4900,0.0,15
710,4093,4097,0.0,2
711,4127,4138,0.0,2
712,4144,4903,0.0,3
713,4148,4904,0.0,4
714,4152,4905,0.0,5
715,4161,4906,0.0,6
716,4165,4907,0.0,7
717,4169,4908,0.0,8
718,4171,4909,0.0,9
719,4178,4910,0.0,10
720,4179,4911,0.0,11
721,4182,4912,0.0,12
722,4190,4913,0.0,13
723,4141,4160,0.0,2
724,4176,4915,0.0,3
725,4186,4916,0.0,4
726,2135,2548,0.008037778400686757,2
727,2704,3016,0.011366555427768432,2
728,2552,2772,0.018754816455817613,2
729,2118,2158,0.01875481645581778,2
730,2755,4402,0.01875481645581789,4
731,1376,1425,0.018754816455818002,2
732,2243,2660,0.02009444656436199,2
733,1993,2372,0.021921214280400836,2
734,2293,2460,0.023443520991755507,2
735,2386,2888,0.026792594856504426,2
736,1987,2423,0.026792594856504648,2
737,1835,2322,0.026792594856504648,2
738,1967,2126,0.028132224965048636,2
739,2241,2488,0.028132224965048636,2
740,1875,1947,0.028132224965048636,2
741,2247,2480,0.028132224965048636,2
742,2607,2698,0.028132224965048636,2
743,1543,4396,0.028416389132065234,3
744,2422,2905,0.029228285707200707,2
745,2193,4450,0.03750963347427971,3
746,2229,2564,0.03750963347427971,2
747,2238,2574,0.03750963347427971,2
748,2217,2464,0.03750963347427971,2
749,2669,2941,0.037509633474279824,2
750,2796,3301,0.0375096334742803,2
751,2468,2522,0.03907253442361491,2
752,2439,4918,0.03974234975920893,3
753,2720,3094,0.0421983374475734,2
754,2,11,0.046887041420866304,2
755,86,108,0.046887041420866304,2
756,90,111,0.046887041420866304,2
757,696,4199,0.046887041420866304,3
758,188,4202,0.046887041420866304,3
759,206,232,0.046887041420866304,2
760,89,99,0.046887041420866304,2
761,88,121,0.046887041420866304,2
762,387,4223,0.046887041420866304,3
763,461,4224,0.046887041420866304,3
764,410,417,0.046887041420866304,2
765,282,4229,0.046887041420866304,3
766,309,348,0.046887041420866304,2
767,334,342,0.046887041420866304,2
768,793,795,0.046887041420866304,2
769,914,4280,0.046887041420866304,3
770,665,668,0.046887041420866304,2
771,806,4314,0.046887041420866304,3
772,733,4334,0.046887041420866304,5
773,920,985,0.046887041420866304,2
774,768,827,0.046887041420866304,2
775,328,353,0.046887041420866304,2
776,910,968,0.046887041420866304,2
777,2029,2109,0.046887041420866304,2
778,2354,2367,0.046887041420866304,2
779,2024,4374,0.046887041420866304,3
780,4377,4378,0.046887041420866304,5
781,2047,4382,0.046887041420866304,3
782,2509,2576,0.046887041420866304,2
783,2598,4391,0.046887041420866304,3
784,2259,2333,0.046887041420866304,2
785,2655,2980,0.046887041420866304,2
786,120,4207,0.04688704142086633,3
787,640,4215,0.04688704142086633,3
788,851,4237,0.04688704142086633,3
789,416,419,0.04688704142086633,2
790,1164,4256,0.04688704142086633,4
791,370,374,0.04688704142086633,2
792,1177,1188,0.04688704142086633,2
793,1498,4263,0.04688704142086633,3
794,1815,1817,0.04688704142086633,2
795,599,4266,0.04688704142086633,3
796,844,890,0.04688704142086633,2
797,4270,4271,0.04688704142086633,5
798,766,775,0.04688704142086633,2
799,1566,4302,0.04688704142086633,4
800,364,4312,0.04688704142086633,3
801,1495,1556,0.04688704142086633,2
802,1293,1332,0.04688704142086633,2
803,1595,1606,0.04688704142086633,2
804,1507,1523,0.04688704142086633,2
805,1915,1954,0.04688704142086633,2
806,1025,1059,0.04688704142086633,2
807,916,979,0.04688704142086633,2
808,1182,1190,0.04688704142086633,2
809,1929,1996,0.04688704142086633,2
810,1776,1787,0.04688704142086633,2
811,1322,1337,0.04688704142086633,2
812,1649,1674,0.04688704142086633,2
813,4238,4240,0.04688704142086634,5
814,4244,4246,0.04688704142086634,5
815,1383,4306,0.04688704142086634,4
816,101,126,0.046887041420866346,2
817,656,663,0.046887041420866346,2
818,829,830,0.046887041420866346,2
819,1226,4243,0.046887041420866346,3
820,1515,1568,0.046887041420866346,2
821,1403,1408,0.046887041420866346,2
822,1450,1451,0.046887041420866346,2
823,1074,1105,0.046887041420866346,2
824,1180,1181,0.046887041420866346,2
825,1050,4296,0.046887041420866346,3
826,1043,1056,0.046887041420866346,2
827,1151,1175,0.046887041420866346,2
828,1104,1131,0.046887041420866346,2
829,1231,1242,0.046887041420866346,2
830,1605,1613,0.046887041420866346,2
831,1634,1659,0.046887041420866346,2
832,1232,1266,0.046887041420866346,2
833,1249,1272,0.046887041420866346,2
834,363,365,0.046887041420866346,2
835,1315,1328,0.046887041420866346,2
836,1434,1469,0.046887041420866346,2
837,1463,1486,0.046887041420866346,2
838,1461,1476,0.046887041420866346,2
839,254,267,0.04688704142086636,2
840,20,35,0.04688704142086636,2
841,123,130,0.04688704142086636,2
842,65,4213,0.04688704142086636,3
843,159,4214,0.04688704142086636,3
844,376,397,0.04688704142086636,2
845,447,4218,0.04688704142086636,3
846,1437,1444,0.04688704142086636,2
847,151,4258,0.04688704142086636,4
848,1496,1510,0.04688704142086636,2
849,688,694,0.04688704142086636,2
850,807,819,0.04688704142086636,2
851,455,485,0.04688704142086636,2
852,804,825,0.04688704142086636,2
853,996,1035,0.04688704142086636,2
854,490,4293,0.04688704142086636,3
855,853,4295,0.04688704142086636,3
856,922,938,0.04688704142086636,2
857,718,4303,0.04688704142086636,3
858,325,4318,0.04688704142086636,3
859,563,4321,0.04688704142086636,3
860,739,755,0.04688704142086636,2
861,1084,1088,0.04688704142086636,2
862,1404,4341,0.04688704142086636,3
863,946,978,0.04688704142086636,2
864,1458,1488,0.04688704142086636,2
865,828,4347,0.04688704142086636,3
866,1083,1095,0.04688704142086636,2
867,1446,1489,0.04688704142086636,2
868,1628,1678,0.04688704142086636,2
869,1709,4351,0.04688704142086636,3
870,1797,1869,0.04688704142086636,2
871,1908,4352,0.04688704142086636,3
872,1199,1258,0.04688704142086636,2
873,1849,1892,0.04688704142086636,2
874,1903,1958,0.04688704142086636,2
875,1386,1395,0.04688704142086636,2
876,1210,1220,0.04688704142086636,2
877,1109,1126,0.04688704142086636,2
878,1285,1317,0.04688704142086636,2
879,642,646,0.046887041420866415,2
880,558,588,0.046887041420866415,2
881,73,96,0.046887041420866415,2
882,308,314,0.046887041420866415,2
883,526,4227,0.046887041420866415,3
884,399,4230,0.046887041420866415,3
